,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-28-10:00:24,Background,0.0,-1754.347091559758
1,2015-10-28-10:01:43,Straight Stream,79.0,12955.470201341148
2,2015-10-28-10:02:43,Straight Stream 'O',139.0,21939.33383706978
3,2015-10-28-10:03:44,Narow Fog,200.0,27219.50515491332
4,2015-10-28-10:04:45,Narrow Fog 'O',261.0,28723.562939654348
5,2015-10-28-10:05:45,Nozzle Off,321.0,-2852.099825144523
6,2015-10-28-10:06:47,End Test,383.0,NaN
