Time,Event
2015-10-28-07:54:50,Background
2015-10-28-07:55:53,Nozzle On
2015-10-28-07:57:03,Straight Stream 'O'
2015-10-28-07:58:04,Straight Stream 'Z'
2015-10-28-07:59:05,Straight Stream 'n'
2015-10-28-08:00:07,Narrow Fog
2015-10-28-08:01:08,Narrow Fog 'O'
2015-10-28-08:02:17,Nozzle Off
2015-10-28-08:03:17,End Test
