Time,Event
2015-10-27-12:04:23,Background
2015-10-27-12:05:24,Straight Stream
2015-10-27-12:06:26,Straight Stream 'O'
2015-10-27-12:07:33,Straight Stream 'Z'
2015-10-27-12:08:36,Straight Stream 'n'
2015-10-27-12:09:37,Narrow Fog
2015-10-27-12:10:42,Narrow Fog 'O'
2015-10-27-12:11:46,Nozzle Off
2015-10-27-12:12:47,End Test
