Time,Event
2015-10-28-13:51:02,Background
2015-10-28-13:52:02,Straight Through Window
2015-10-28-13:53:02,Nozzle Off
2015-10-28-13:53:34,Ceiling Attack - 8' Inside Window
2015-10-28-13:54:37,Nozzle Off
2015-10-28-13:55:07,Ceiling Attack - Directly Inside Window
2015-10-28-13:56:07,Nozzle Off
2015-10-28-13:57:08,End Test
