Time,Event
2015-10-28-13:23:22,Background
2015-10-28-13:24:23,Straight Through Window
2015-10-28-13:25:23,Nozzle Off
2015-10-28-13:25:54,Ceiling Attack - 8' In
2015-10-28-13:26:55,Nozzle Off
2015-10-28-13:27:25,Ceiling Attack - Just Inside Window
2015-10-28-13:28:26,Nozzle Off
2015-10-28-13:29:32,End Test
