Time,Event
2015-10-29-14:05:44,Background
2015-10-29-14:06:44,Straight Stream Advance - 'n' Pattern
2015-10-29-14:07:18,SS Advance 'n' Pattern
2015-10-29-14:08:18,SS Advance 'Z' Pattern
2015-10-29-14:08:40,End Straight Stream Advance - 'Z' Advance
2015-10-29-14:09:44,End Test
