Time,Event
2015-10-27-07:25:08,Background
2015-10-27-07:26:10,Straight Stream
2015-10-27-07:27:17,Straight Stream 'O'
2015-10-27-07:28:18,Narrow Fog
2015-10-27-07:29:25,Narrow Fog 'O'
2015-10-27-07:30:27,Nozzle Off
2015-10-27-07:31:27,End Test
