Time,Event
2015-10-27-08:34:19,Background
2015-10-27-08:35:20,Straight Stream
2015-10-27-08:36:20,Straight Stream 'O'
2015-10-27-08:37:20,Narrow Fog
2015-10-27-08:38:22,Narrow Fog 'O'
2015-10-27-08:39:23,Nozzle Off
2015-10-27-08:40:28,End Test
