Time,Event
2015-10-27-19:23:02,Background
2015-10-27-19:24:02,Nozzle On
2015-10-27-19:25:03,'O' Pattern
2015-10-27-19:26:09,'Z' Pattern
2015-10-27-19:27:11,'n' Pattern
2015-10-27-19:28:17,Nozzle Off
2015-10-27-19:29:19,End Test
