Time,Event
2015-10-29-14:26:07,Background
2015-10-29-14:27:13,SS Advance
2015-10-29-14:27:33,Advance 1 Complete
2015-10-29-14:28:08,SS Advance 'O' Pattern
2015-10-29-14:29:28,NF Advance
2015-10-29-14:29:50,End Advance 2
2015-10-29-14:30:35,NF Advance 'O' Pattern
2015-10-29-14:31:02,End Advance
2015-10-29-14:32:03,End Test
