,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-27-09:23:04,Background,1.0,-3088.4089581029775
1,2015-10-27-09:24:07,'O' Pattern,64.0,23289.564322997107
2,2015-10-27-09:25:16,Spray and Pray,133.0,21505.149860064663
3,2015-10-27-09:26:16,Nozzle Off,193.0,-3153.7652937933676
4,2015-10-27-09:27:16,End Test,253.0,NaN
