Time,Event
2015-10-28-19:02:15,Background
2015-10-28-19:03:26,Smooth Bore
2015-10-28-19:04:28,Smooth Bore 'O'
2015-10-28-19:05:29,Nozzle Off
2015-10-28-19:06:29,End Test
