Time,Event
2015-10-28-14:14:41,Background
2015-10-28-14:15:41,Straight Stream
2015-10-28-14:16:42,Straight Stream 'O'
2015-10-28-14:17:42,Narrow Fog
2015-10-28-14:18:43,Narrow Fog 'O'
2015-10-28-14:19:43,Nozzle Off
2015-10-28-14:20:45,End Test
