Time,Event
2015-10-28-10:50:03,Background
2015-10-28-10:51:08,Straight Stream
2015-10-28-10:52:08,Straight Stream 'O'
2015-10-28-10:53:08,Narrow Fog
2015-10-28-10:54:13,Narrow Fog 'O'
2015-10-28-10:55:18,Nozzle Off
2015-10-28-10:56:19,End Test
