Time,Event
2015-10-28-08:14:55,Background
2015-10-28-08:15:55,Straight Stream
2015-10-28-08:16:55,Straight Stream 'O'
2015-10-28-08:17:56,Straight Stream 'Z'
2015-10-28-08:18:59,Straight Stream 'n'
2015-10-28-08:21:00,Narrow Fog
2015-10-28-08:22:06,Narrow Fog 'O'
2015-10-28-08:23:09,Nozzle Off
2015-10-28-08:24:09,End Test
