Time,Event
2015-10-27-08:52:52,Background
2015-10-27-08:53:52,Nozzle On
2015-10-27-08:54:52,'O' Pattern
2015-10-27-08:55:53,Nozzle Off
2015-10-27-08:56:53,End Test
