Time,Event
2015-10-26-17:43:03,Background
2015-10-26-17:44:03,Smooth Bore Fixed
2015-10-26-17:45:11,Smooth Bore 'O'
2015-10-26-17:46:11,Nozzle Off
2015-10-26-17:47:12,End Test
