Time,Elapsed Time,BDP1V,BDP2V,BDP3V,BDP4V,BDP5V,PressureV,Pressure,BDP1Vel,BDP2Vel,BDP3Vel,BDP4Vel,BDP5Vel,BDP1Flow,BDP2Flow,BDP3Flow,BDP4Flow,BDP5Flow,TotalBDPFlow
2015-10-27 20:03:22,00:00:20,2.491875972,2.512455657,2.52619156,2.530513692,2.529005841,2.494538631,0.054395235,-66.15028049,81.90856127,118.7754443,128.2015742,124.9938683,-189.1898022,234.2584852,339.6977708,366.6565022,382.4812368,1138.766122
2015-10-27 20:03:23,00:00:21,2.489586671,2.503909333,2.509098111,2.517081865,2.490091368,2.505375165,0.053536644,-74.89292348,45.88780686,70.00379521,95.92098307,-73.05548495,-214.1937612,131.2391276,200.2108543,274.3340116,-223.5497839,170.574153
2015-10-27 20:03:24,00:00:22,2.497675535,2.501314913,2.513218853,2.499528909,2.506420186,2.494233377,0.057435569,-35.3840451,26.61304018,84.3806496,-15.92935874,58.80574887,-101.198369,76.11329491,241.3286579,-45.55796601,179.9455915,351.7355957
2015-10-27 20:03:25,00:00:23,2.489739291,2.502993655,2.502840687,2.502886866,2.504894128,2.504459402,0.04441564,-74.34207397,40.15566948,39.1162921,39.4329518,51.34328509,-212.6183316,114.8452147,111.8725954,112.7782422,157.1104524,284.8091095
2015-10-27 20:03:26,00:00:24,2.48928143,2.501314913,2.506961429,2.499834178,2.501078984,2.498049058,0.019431387,-75.98264301,26.61304018,61.23436119,-9.450767223,24.1075711,-217.310359,76.11329491,175.130273,-27.02919426,73.76916758,80.71785325
2015-10-27 20:03:27,00:00:25,2.495080994,2.499330945,2.509250731,2.49678149,2.509930119,2.500948975,0.009451792,-51.47361535,-18.98352756,70.58850735,-41.63642264,73.13465255,-147.2145399,-54.29288883,201.883131,-119.0801687,223.7920368,104.3195173
2015-10-27 20:03:28,00:00:26,2.492639072,2.506961591,2.50864025,2.507007995,2.501536801,2.494080749,0.058955737,-62.96689195,61.23507364,68.21959593,61.43881931,28.77099125,-180.085311,175.1323106,195.1080444,175.7150232,88.03923321,456.2765879
2015-10-27 20:03:29,00:00:27,2.481803046,2.502383203,2.50833501,2.51067122,2.504283705,2.494386004,0.055915402,-99.00230946,35.82832826,67.00374033,75.81463015,48.03477546,-283.146605,102.4690188,191.6306973,216.8298422,146.9864129,376.2431893
2015-10-27 20:03:30,00:00:28,2.491875972,2.499788784,2.509098111,2.509755414,2.507030609,2.494691258,0.052875067,-66.15028049,-10.66619918,70.00379521,72.48845245,61.5378694,-189.1898022,-30.50532966,200.2108543,207.316974,188.3058804,377.3539099
2015-10-27 20:03:31,00:00:29,2.476613963,2.50375672,2.504672128,2.509602779,2.492380455,2.488891423,0.110641425,-112.2339616,44.98320406,50.16529289,71.91913517,-64.06347725,-320.9891302,128.6519636,143.4727377,205.6887266,-196.0342404,-38.19524311
2015-10-27 20:03:32,00:00:30,2.484702828,2.493073815,2.50818239,2.500292081,2.505962369,2.498049058,0.019431387,-90.77192736,-61.07915635,66.38746262,12.54289449,56.67028451,-259.6077123,-174.6863872,189.8681431,35.87267825,173.4110706,-36.49160885
