Time,Event
2015-10-26-15:51:52,Background
2015-10-26-15:52:54,Straight Stream
2015-10-26-15:53:55,Straight Stream 'O'
2015-10-26-15:54:55,Straight Stream 'Z'
2015-10-26-15:55:55,Straight Stream 'n'
2015-10-26-15:56:56,Narrow Fog
2015-10-26-15:58:13,Narrow Fog 'O'
2015-10-26-15:59:13,Nozzle Off
2015-10-26-16:00:13,End Test
