Time,Event
2015-10-29-11:31:55,Background
2015-10-29-11:32:56,Straight Stream Advance
2015-10-29-11:33:11,End Advance
2015-10-29-11:34:11,Advance 'O' Pattern
2015-10-29-11:34:37,End Advance
