Time,Event
2015-10-28-17:45:29,Background
2015-10-28-17:46:29,Straight Stream
2015-10-28-17:47:29,Straight Stream 'O'
2015-10-28-17:48:29,Narrow Fog
2015-10-28-17:49:29,Narrow Fog 'O'
2015-10-28-17:50:33,Nozzle Off
2015-10-28-17:51:34,End Test
