Time,Event
2015-10-27-08:43:06,Background
2015-10-27-08:44:06,Smooth Bore
2015-10-27-08:45:07,Smooth Bore 'O'
2015-10-27-08:46:07,Nozzle Off
2015-10-27-08:47:08,End Test
