,Time,Event,Elapsed_Time,CFM_Avg
0,2015-10-28-19:08:08,Background,0.0,33.03692417523073
1,2015-10-28-19:09:08,Straight Stream,60.0,3015.2372007984086
2,2015-10-28-19:10:09,Straight Stream 'O',121.0,10030.226695312118
3,2015-10-28-19:11:09,Narrow Fog,181.0,17014.79851805795
4,2015-10-28-19:12:11,Narrow Fog 'O',243.0,21550.47565253063
5,2015-10-28-19:13:12,Nozzle Off,304.0,-684.412422662469
6,2015-10-28-19:14:15,End Test,367.0,NaN
