Time,Event
2015-10-27-09:01:40,Background
2015-10-27-09:02:40,Smooth Bore Fixed
2015-10-27-09:03:41,Smooth Bore 'O'
2015-10-27-09:04:42,Nozzle Off
2015-10-27-09:06:14,End Test
