Time,Event
2015-10-27-19:50:08,Background
2015-10-27-19:51:22,Nozzle On
2015-10-27-19:52:24,Straight Stream 'O'
2015-10-27-19:53:24,Straight Stream 'Z'
2015-10-27-19:54:45,Straight Stream 'n'
2015-10-27-19:55:48,Narrow Fog
2015-10-27-19:56:52,Narrow Fog 'O'
2015-10-27-19:57:26,Nozzle Off
2015-10-27-19:59:41,End Test
