Experiment,Experiments To Compare,Compare Exp,Excluded Groups,Excluded Channels,Y Scale Temperature,Y Scale BDP,Y Scale PRESSURE
Experiment_1_Data,,0,,,2500,25,25
Experiment_2_Data,,0,,,2500,25,25
Experiment_3_Data,,0,,,2500,25,25
Experiment_4_Data,,0,,,2500,25,25
Experiment_5_Data,,0,,,2500,25,25
Experiment_6_Data,,0,,,2500,25,25
