Event,Flow_Time,Results_Time,Time
Ignition,,0:05:06,0:05:06
Transitional Attack Start,,0:10:27,
BR1 Window Solid Stream,322.1,,0:10:27
Front Door Open,,,0:10:41
Suppression Crew Enters,,,0:10:48
Burst Suppression,341.6,,0:10:51
Room Suppression,363.6,,0:11:13
End Experiment,,0:17:10,0:17:10
