Event,Flow_Time,Results_Time,Time
Ignition,,0:00:09,0:00:09
Interior Attack Start,,0:05:32,
Front Door Open,,,0:05:32
Suppression Crew Enters,,,0:05:42
Burst Suppression,338.1,,0:05:47
Hall Suppression,392.3,,0:05:58
End Experiment,,0:13:07,0:13:07
