Event,Flow_Time,Results_Time,Time
Ignition,,0:05:07,0:05:07
Transitional Attack Start,,0:10:33,
BR1 Window Narrow Fog,326.0,,0:10:33
Front Door Open,,,0:10:48
Suppression Crew Enters,,,0:10:57
Hall Suppression ,359.4,,0:11:08
End Experiment,,0:17:12,0:17:12
