Event,Old Time,Time,Flow_Time
Ignition,0:05:12,0:05:12,
Front Door Open,0:12:17,0:12:17,
Attack Team Enters,0:12:30,0:12:30,
Burst Suppression,0:12:35,0:12:35,
Hall Suppression,0:12:48,0:12:50,458.1
End Experiment,0:23:14,0:16:00,
