Event,Flow_Time,Results_Time,Time
Ignition,,0:02:03,0:02:03
Interior Attack Start,,0:07:30,
Front Door Open,,,0:07:30
Suppression Crew Enters,,,0:07:42
Burst Suppression,340.1,,0:07:43
Hall Suppression,349.0,,0:07:51
End Experiment,,0:11:00,0:11:00
