Event,Flow_Time,Results_Time,Time
Ignition,,0:02:08,0:02:08
Transitional Attack Start,,0:07:32,
BR1 Window Narrow Fog,323.9,,0:07:32
BR1 Window Straight Stream,508.9,,0:10:36
Front Door Open,,,0:11:06
Suppression Crew Enters,,,0:11:18
Room Suppression,572.7,,0:11:42
End Experiment,,0:16:13,0:16:13
