Event,Flow_Time,Results_Time,Time
Ignition,,0:02:06,0:02:06
Interior Attack Start,,0:08:01,
Front Door Open,,,0:08:01
Suppression Crew Enters,,,0:08:13
Burst Suppression,369.1,,0:08:15
Hall Suppression,379.9,,0:08:25
End Experiment,,0:14:32,0:14:32
