Event,Flow_Time,Results_Time,Time
Ignition,,0:05:07,0:05:07
Interior Attack Start,,0:10:46,
Front Door Open,,,0:10:46
Suppression Crew Enters,,,0:10:47
Burst Suppression,344.1,,0:10:51
Hall Suppression,356.7,,0:11:02
End Experiment,,0:17:13,0:17:13
