Event,Flow_Time,Results_Time,Time
Ignition,,0:02:05,0:02:05
Interior Attack Start,,0:07:44,
Front Door Open,,,0:07:44
Suppression Crew Enters,,,0:07:57
Burst Suppression,358.0,,0:08:02
Hall Suppression,372.4,,0:08:16
End Experiment,,0:14:11,0:14:11
