Event,Flow_Time,Results_Time,Time
Ignition,,0:05:03,0:05:03
Interior Attack Start,,0:13:01,
Front Door Open,,,0:13:01
Suppression Crew Enters,,,0:13:16
Burst Suppression,498.0,,0:13:21
Hall Suppression,507.5,,0:13:30
End Experiment,,0:19:41,0:19:41
