Event,Results_Time,Time
Ignition,0:05:15,0:05:15
Front Door Open,,0:13:32
Interior Attack Start,0:32:02,
Suppression Crew Enters,,0:32:02
Hall Suppression,,0:32:09
End Experiment,0:37:23,0:37:23
