Event,Flow_Time,Results_Time,Time
Ignition,,0:02:10,0:02:10
Interior Attack Start,,0:08:30,
Front Door Open,,,0:08:30
Suppression Crew Enters,,,0:08:42
Burst Suppression,397.1,,0:08:46
Hall Suppression,407.4,,0:08:57
End Experiment,,0:12:30,0:12:30
