Event,Flow_Time,Results_Time,Time
Ignition,,0:02:03,0:02:03
Front Door Open,,,0:06:13
Transitional Attack Start,,0:08:09,
BR4 Window Straight Stream,366.1,,0:08:09
Suppression Crew Enters,,,0:08:22
Room Suppression,397.2,,0:08:34
End Experiment,,0:11:12,0:11:12
