index,Experiment_19_Data,Experiment_17_Data,Experiment_11_Data,Experiment_13_Data,Experiment_2_Data,Experiment_8_Data,Experiment_5_Data,Experiment_12_Data,Experiment_23_Data,Experiment_15_Data,Experiment_18_Data,Experiment_7_Data,Experiment_27_Data,Experiment_10_Data,Experiment_9_Data,Experiment_4_Data,Experiment_6_Data,Experiment_14_Data,Experiment_20_Data,Experiment_22_Data,Experiment_1_Data,Experiment_16_Data,Experiment_21_Data,Experiment_24_Data
FED_Temp_Vic1,0.00010590586523013764,0.0003209002830448616,0.0,0.00012559067366949662,0.00013565058467551386,0.0,0.0,0.0003785418094334216,1.943781236898493e-05,0.0,0.003694466245427795,1.4055834714401799e-05,0.0,4.552779817701352e-06,0.001000775866306498,,0.0026193072059944172,0.0,,2.1462530980795335e-05,0.00011398619753997261,0.0,,6.162704427917227e-05
FED_Temp_Vic2,0.002030238973305892,0.002358038822793007,,0.0009962264203175826,4.648492101217786e-05,,0.0,0.006849871486556459,0.001788764431247509,0.0,,2.6641874242301942e-05,1123.6335555690223,3.7503119834141345e-05,0.00097201675067313,0.0001299502926340088,0.0035568942106249113,0.0001351809133549707,,1.8490225304826547e-05,,0.0,0.0004964451605402668,
FED_Temp_Vic3,0.0019284365976098613,0.0002795484636326545,0.0,0.0024417036765518965,4.812679609831465e-06,0.0,0.0,0.0006484302228170541,0.00044369939791846064,2.8640101580542328e-05,0.0005737726287044864,0.0012597398987502484,128.45533594685156,0.0008489578099450506,0.0012165340700397121,,0.00035643461000738194,1.4783469462004208e-05,0.0,,0.00016152636582014086,0.0,,0.0014121385166705113
FED_Temp_Vic4,0.00861122173370654,0.004676339696699172,0.0,0.002807654177213336,0.0,0.0,0.0,0.009441157835163284,0.009079575793196192,0.0,0.004467897429701242,0.0006334230854306804,0.0,0.00142000309342432,0.0059674963319045595,,0.00348452307450447,0.0,0.0,0.0,4.0089581017617165e-05,0.0,0.004865106017042278,0.002257579560400847
