,Time
0,328.04
1,336.64
2,346.24
3,359.34000000000003
4,373.54
5,388.54
6,414.34000000000003
7,517.34
8,620.44
9,673.84
10,762.94
11,784.74
12,807.54
13,851.44
14,890.24
15,1029.44
16,1140.94
17,1228.74
