,Time
0,366.09999999999997
1,380.4
2,389.4
3,393.1
4,397.2
5,408.9
6,417.9
7,423.4
8,437.9
9,445.7
10,501.2
11,513.2
12,549.3
13,561.1
14,573.6
15,586.2
16,627.9
