,Time
0,404.0
1,412.6
2,426.1
3,442.6
4,459.5
5,468.1
6,485.6
7,497.3
8,516.4
9,556.2
10,574.7
11,582.8
12,594.3
13,602.8
14,609.5
15,624.0
16,664.6
17,678.4000000000001
18,691.2
