Date and Time,Event,Time
121,Ignition,0:02:06
451,Front Door Open,0:07:32
465,Attack Team Enters,0:07:46
,Burst Suppression,0:07:51
,Hall Suppression,0:08:00
841,End Experiment,0:14:03
