Date and Time,Event,Time
121,Ignition,0:02:05
463,Front Door Open,0:07:44
473,Attack Team Enters,0:07:57
,Burst Suppression,0:08:02
483,Hall Suppression,0:08:16
845,End Experiment,0:14:11
,,
