Date and Time,Event,Time
120,Ignition,0:02:06
480,Front Door Open,0:08:01
491,Attack Team Enters,0:08:13
,Burst Suppression,0:08:18
,Hall Suppression,0:08:28
870,End Experiment,0:14:32
