Date and Time,Event,Time
2016-02-27-08:02:54,Ignition,0:05:06
2016-02-27-08:08:26,Front Door Open,0:10:33
,Attack Team Enters,0:15:38
2016-02-27-08:13:29,Burst Suppressioin,0:15:42
,Hall Suppression,0:15:53
,End Experiment,0:28:38
