Date and Time,Event,Time
2016-02-29-11:48:08,Ignition,0:02:49
2016-02-29-11:53:40,Exterior Suppression BR1 Window Straight Stream,0:08:17
,Exterior Suppression BR2 Window Straight Stream,0:08:45
,Front Door Open,0:09:05
,Attack Team Enters,0:09:19
,Room Suppression,0:09:57
2016-02-29-12:00:09,End Experiment,0:14:44
