Date and Time,Event,Time
2016-03-02-11:44:17,Ignition,0:05:05
2016-03-02-11:50:48,Front Door Open,0:11:31
,Attack Team Enters,0:11:44
2016-03-02-11:51:02,Burst Suppression,0:11:48
,Hall Suppression,0:11:55
2016-03-02-11:59:18,End Experiment,0:20:10
,,
