Date and Time,Event,Time
2016-02-25-9:00:28,Ignition,0:05:15
2016-02-25-9:08:58,Front Door Open,0:13:32
2016-02-25-9:27:00,Attack Team Enters,0:32:02
2016-02-25-9:27:38,Suppression,0:32:09
2016-02-25-9:48:02,End Experiment,0:47:34
