Date and Time,Event,Time
2016-02-28-09:33:25,Ignition,0:05:05
2016-02-28-09:41:57,Front Door Opened,0:13:31
,Attack Team Enters,0:13:33
2016-02-28-09:42:07,Burst Suppression,0:13:37
,Hall Suppression,0:13:50
2016-02-28-09:52:26,End Experiment,0:24:14
