Event,Time
Ignition,0:05:06
Exterior Suppression BR1 Window Solid Stream,0:10:30
Front Door Open,0:10:41
Attack Team Enters,0:10:48
Burst Suppression,0:10:51
Room Suppression,0:11:13
End Experiment,0:17:10
