Seconds,FireAttack_Bed1,FireAttack_Bed2,Couch1_CenterIgnite,Couch3_RightIgnite,Couch2_LeftIgnite,StripedChair_1,StripedChair_2,StripedChair_3,YellowChair_1,YellowChair_2
71.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.0,57.0
72.0,229.0,231.2,96.4,98.8,101.0,62.2,61.0,62.4,55.2,56.8
73.0,229.0,231.2,96.4,99.0,101.0,62.4,61.0,62.4,55.0,57.0
74.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.0,56.8
75.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.0,57.0
76.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.2,57.0
77.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.6,55.0,57.0
78.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.0,57.0
79.0,229.0,231.0,96.4,98.8,101.0,62.4,61.0,62.4,55.0,57.0
80.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.0,57.0
81.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.2,57.0
82.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.2,57.0
83.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.2,57.0
84.0,229.0,231.0,96.4,98.8,101.0,62.4,60.8,62.4,55.0,56.8
85.0,229.0,231.0,96.4,98.8,101.0,62.4,61.0,62.4,55.2,56.8
86.0,229.0,231.0,96.4,98.8,101.0,62.4,61.0,62.6,55.0,56.8
87.0,229.0,231.2,96.2,98.8,101.0,62.4,61.0,62.4,55.0,56.8
88.0,229.0,231.2,96.4,99.0,101.0,62.4,61.0,62.6,55.0,56.8
89.0,229.0,231.2,96.4,99.0,101.0,62.4,61.0,62.6,55.0,56.8
90.0,229.0,231.0,96.4,99.0,101.0,62.4,61.0,62.6,55.0,57.0
91.0,229.0,231.2,96.4,99.0,101.0,62.4,61.0,62.6,55.0,57.0
92.0,229.0,231.2,96.4,99.0,101.0,62.4,61.0,62.6,55.0,56.8
93.0,229.0,231.2,96.4,99.0,101.0,62.4,61.0,62.6,55.0,56.8
94.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.6,55.0,56.8
95.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.0,56.8
96.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.0,56.8
97.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.0,56.8
98.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.6,55.0,56.8
99.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.6,55.0,56.8
100.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.0,56.8
101.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.0,56.8
102.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.6,55.2,56.8
103.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.2,56.8
104.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.2,55.2,57.0
105.0,229.0,231.0,96.4,98.8,101.0,62.4,61.0,62.4,55.2,57.0
106.0,229.0,231.0,96.4,98.8,101.0,62.4,61.0,62.4,55.2,57.0
107.0,229.0,231.0,96.2,98.8,101.0,62.4,60.8,62.4,55.0,57.0
108.0,229.0,231.2,96.2,98.8,101.0,62.4,60.8,62.4,55.2,57.0
109.0,229.0,231.2,96.2,98.8,101.0,62.4,60.8,62.4,55.2,57.0
110.0,229.0,231.0,96.2,98.8,101.0,62.2,61.0,62.4,55.2,57.0
111.0,229.0,231.0,96.2,98.8,101.0,62.2,61.0,62.4,55.2,56.8
112.0,229.0,231.2,96.2,98.8,101.0,62.2,61.0,62.4,55.2,56.8
113.0,229.0,231.2,96.2,99.0,101.0,62.2,61.0,62.4,55.2,56.8
114.0,229.0,231.0,96.2,98.8,101.0,62.4,60.8,62.4,55.2,56.8
115.0,229.0,231.0,96.2,99.0,101.0,62.4,60.8,62.6,55.2,56.8
116.0,229.0,231.2,96.2,98.8,101.0,62.2,60.8,62.4,55.0,56.8
117.0,229.0,231.2,96.2,98.8,101.0,62.4,60.8,62.4,55.0,56.8
118.0,229.0,231.2,96.2,99.0,101.0,62.2,60.8,62.4,55.0,57.0
119.0,229.0,231.0,96.4,98.8,101.0,62.2,61.0,62.4,55.0,57.0
120.0,229.0,231.0,96.2,98.8,101.0,62.2,60.8,62.4,55.0,57.0
121.0,229.0,231.2,96.4,98.8,101.0,62.4,61.0,62.4,55.0,56.8
122.0,229.0,231.2,96.4,98.8,101.0,62.2,61.0,62.6,55.0,56.8
123.0,229.0,231.0,96.4,98.8,101.0,62.2,61.0,62.6,55.0,56.8
124.0,229.0,231.0,96.4,98.8,101.0,62.4,61.0,62.6,55.0,56.8
125.0,229.0,231.0,96.4,98.8,101.0,62.2,61.0,62.6,55.0,56.8
126.0,229.0,231.0,96.4,98.8,101.0,62.2,60.8,62.4,55.0,57.0
127.0,228.8,231.0,96.4,99.0,101.0,62.2,61.0,62.4,55.0,56.8
128.0,229.0,231.0,96.4,98.8,101.0,62.2,61.0,62.6,55.0,57.0
129.0,229.0,231.0,96.4,98.8,101.0,62.4,61.0,62.6,55.0,57.0
130.0,229.0,231.2,96.4,99.0,101.0,62.4,61.0,62.4,55.0,57.0
131.0,229.0,231.0,96.4,99.0,101.0,62.2,61.0,62.4,55.0,57.0
132.0,229.0,231.0,96.4,98.8,101.0,62.2,61.0,62.4,55.0,56.8
133.0,228.8,231.0,96.4,99.0,101.0,62.2,61.0,62.6,55.0,56.8
134.0,228.8,231.0,96.4,99.0,101.0,62.2,61.0,62.4,55.0,56.8
135.0,229.0,231.0,96.4,99.0,101.0,62.2,61.0,62.4,55.0,57.0
136.0,229.0,231.0,96.4,99.0,101.0,62.2,61.0,62.4,55.0,57.0
137.0,229.0,231.0,96.4,98.8,101.0,62.4,61.0,62.4,55.0,56.8
138.0,229.0,231.0,96.4,99.0,101.0,62.4,60.8,62.4,55.0,57.0
