Date and Time,Event,Time
3/18/2016 11:45:20,Ignition,0:04:48
3/18/2016 11:54:20,Front Window Open,
3/18/2016 11:56:46,Suppression,
3/18/2016 12:07:41,End Experiment,
,,
,,
,,
