Time,GPM,Total Gallons
01:48.0,-0.063121118,-0.066674866
01:48.0,-0.082132816,-0.066686966
01:48.0,-0.098768055,-0.066702046
01:48.0,-0.059556425,-0.06671524
01:48.0,-0.090450436,-0.066727735
01:48.0,-0.086885743,-0.066742517
01:48.1,-0.03757415,-0.066752888
01:48.1,-0.047674116,-0.066759989
01:48.1,-0.11065037,-0.066773184
01:48.1,-0.015591874,-0.066783704
01:48.1,-0.016780104,-0.066786401
01:48.1,0.013519789,-0.066786677
01:48.1,-0.008462487,-0.066786252
01:48.1,-0.020344799,-0.066788658
01:48.1,-0.063121118,-0.06679561
01:48.2,-0.078568123,-0.066807419
01:48.2,-0.088668093,-0.066821352
01:48.2,-0.059556425,-0.066833705
01:48.2,0.003419824,-0.066838384
01:48.2,-0.039356496,-0.066841379
01:48.2,-0.035791803,-0.066847645
01:48.2,0.011737443,-0.066849649
01:48.2,-0.030444764,-0.066851206
01:48.2,0.020649176,-0.066852026
01:48.2,0.027184447,-0.06684804
01:48.3,-0.034009457,-0.066848606
01:48.3,-0.055991732,-0.066856109
01:48.3,-0.094015129,-0.066868603
01:48.3,-0.12787972,-0.066887096
01:48.3,-0.010244834,-0.066898607
01:48.3,-0.015591874,-0.06690076
01:48.3,0.011737443,-0.06690108
01:48.3,0.009955095,-0.066899277
01:48.3,0.049166724,-0.066894345
01:48.3,-0.004897794,-0.066890657
01:48.4,-0.041138843,-0.066894494
01:48.4,-0.10233275,-0.066906452
01:48.4,-0.10886802,-0.06692405
01:48.4,-0.10411509,-0.066941798
01:48.4,-0.08332105,-0.066957422
01:48.4,-0.086885743,-0.066971608
01:48.4,-0.12253268,-0.066989057
01:48.4,-0.071438737,-0.067005225
01:48.4,-0.001927216,-0.067011334
01:48.4,-0.054803502,-0.067016065
01:48.4,-0.13976203,-0.067032278
01:48.5,-0.16055608,-0.067057304
01:48.5,-0.085103393,-0.067077778
01:48.5,-0.068468161,-0.067090571
01:48.5,-0.068468161,-0.067101985
01:48.5,-0.042921189,-0.067111269
01:48.5,-0.045891769,-0.067118667
01:48.5,-0.1195621,-0.067132458
01:48.5,-0.064903468,-0.067147829
01:48.5,-0.090450436,-0.067160778
01:48.6,-0.03222711,-0.067171
01:48.6,-0.07500343,-0.067179933
01:48.6,-0.016780104,-0.067187585
01:48.6,0.011737443,-0.067188002
01:48.6,-0.018562451,-0.067188576
01:48.6,-0.044109423,-0.067193799
01:48.6,-0.12787972,-0.067208126
01:48.6,-0.10233275,-0.067227311
01:48.6,-0.096985705,-0.067243926
01:48.6,-0.059556425,-0.067256972
01:48.6,-0.042921189,-0.067265511
01:48.7,-0.020344799,-0.067270786
01:48.7,-0.085103393,-0.06727957
01:48.7,-0.051238809,-0.067290932
01:48.7,-0.07500343,-0.067301452
01:48.7,-0.096985705,-0.067315787
01:48.7,-0.098768055,-0.067332096
01:48.7,-0.061338775,-0.06734544
01:48.7,-0.080350474,-0.06735725
01:48.7,-0.08332105,-0.067370884
01:48.7,-0.10411509,-0.067386508
01:48.8,-0.12966207,-0.067405991
01:48.8,-0.1688737,-0.067430869
01:48.8,-0.16709134,-0.067458868
01:48.8,-0.13976203,-0.067484438
01:48.8,-0.068468161,-0.067501791
01:48.8,-0.044109423,-0.067511171
01:48.8,-0.094015129,-0.067522682
01:48.8,-0.044109423,-0.067534193
01:48.8,-0.041138843,-0.067541294
01:48.9,-0.018562451,-0.067546271
01:48.9,-0.049456462,-0.067551941
01:48.9,-0.07678578,-0.067562461
01:48.9,-0.098768055,-0.067577094
01:48.9,-0.042921189,-0.067588896
01:48.9,-0.078568123,-0.067599021
01:48.9,-0.069656394,-0.067611374
01:48.9,-0.086885743,-0.06762442
01:48.9,-0.12253268,-0.067641869
01:48.9,-0.039356496,-0.067655362
01:49.0,-0.073221087,-0.067664742
01:49.0,-0.059556425,-0.067675807
01:49.0,-0.073221087,-0.067686878
01:49.0,-0.054803502,-0.067697547
01:49.0,-0.098768055,-0.06771034
01:49.0,-0.057774078,-0.067723386
01:49.0,-0.092232786,-0.067735888
01:49.0,-0.085103393,-0.06775067
01:49.0,-0.053021155,-0.067762174
01:49.0,-0.078568123,-0.067773141
01:49.1,-0.10589744,-0.067788519
01:49.1,-0.19442067,-0.067813545
01:49.1,-0.16174431,-0.067843221
01:49.1,-0.13797969,-0.067868203
01:49.1,-0.096985705,-0.067887783
01:49.1,-0.10767978,-0.067904837
01:49.1,-0.12253268,-0.067924023
01:49.1,-0.1159974,-0.067943901
01:49.1,-0.18253835,-0.067968778
01:49.1,-0.16352665,-0.06799762
01:49.1,-0.098768055,-0.06801948
