Time,GPM,Total Gallons
33:43.4,-0.31203771,-2.60E-05
33:43.4,-0.35309562,-8.14E-05
33:43.4,-0.32393855,-0.000137853
33:43.4,-0.34417,-0.00019353
33:43.4,-0.33940965,-0.000250496
33:43.4,-0.30489722,-0.000304189
33:43.4,-0.28942612,-0.000353717
33:43.4,-0.30013686,-0.000402849
33:43.5,-0.25372356,-0.000449005
33:43.5,-0.27455005,-0.000493028
33:43.5,-0.32572368,-0.000543052
33:43.5,-0.28942612,-0.000594316
33:43.5,-0.28466576,-0.000642157
33:43.5,-0.20790531,-0.000683206
33:43.5,-0.26264921,-0.00072242
33:43.5,-0.21980615,-0.000762625
33:43.5,-0.24896322,-0.00080169
33:43.5,-0.18231849,-0.000837631
33:43.6,-0.29299635,-0.000877241
33:43.6,-0.27097979,-0.00092424
33:43.6,-0.31679806,-0.000973222
33:43.6,-0.24182272,-0.001019775
33:43.6,-0.26264921,-0.001061815
33:43.6,-0.24896322,-0.001104451
33:43.6,-0.25907895,-0.001146788
33:43.6,-0.14126056,-0.001180151
33:43.6,-0.20612018,-0.0012091
33:43.6,-0.23170701,-0.001245586
33:43.6,-0.28466576,-0.001288618
33:43.7,-0.30192199,-0.001337501
33:43.7,-0.3286989,-0.001390054
33:43.7,-0.34595513,-0.001446276
33:43.7,-0.40605441,-0.001508945
33:43.7,-0.38046759,-0.00157449
33:43.7,-0.32750881,-0.001633489
33:43.7,-0.32750881,-0.001688075
33:43.7,-0.28645089,-0.001739239
33:43.7,-0.28466576,-0.001786833
33:43.7,-0.23646735,-0.001830262
33:43.8,-0.20790531,-0.001867294
33:43.8,-0.19243421,-0.001900656
33:43.8,-0.23527725,-0.001936299
33:43.8,-0.30489722,-0.001981315
33:43.8,-0.27633518,-0.002029751
33:43.8,-0.29121125,-0.002077048
33:43.8,-0.22813675,-0.002120328
33:43.8,-0.26740953,-0.002161624
33:43.8,-0.24539298,-0.002204359
33:43.8,-0.29478148,-0.002249374
33:43.9,-0.29121125,-0.002298208
33:43.9,-0.25372356,-0.00234362
33:43.9,-0.20433505,-0.002381792
33:43.9,-0.15792176,-0.002411981
33:43.9,-0.15494654,-0.002438054
33:43.9,-0.18410362,-0.002466308
33:43.9,-0.22456649,-0.002500365
33:43.9,-0.19421934,-0.002535265
33:43.9,-0.21445078,-0.002569321
33:43.9,-0.10020265,-0.002595543
33:44.0,-0.18231849,-0.002619087
33:44.0,-0.1852937,-0.002649722
33:44.0,-0.11567375,-0.002674803
33:44.0,-0.09306214,-0.002692198
33:44.0,-0.052004222,-0.002704287
33:44.0,-0.10496299,-0.002717368
33:44.0,-0.161492,-0.002739573
33:44.0,-0.19421934,-0.002769216
33:44.0,-0.19600447,-0.002801735
33:44.1,-0.25729382,-0.002839511
