Time,GPM,Total Gallons
13:00.5,-0.35716993,-2.98E-05
13:00.5,-0.37918925,-9.11E-05
13:00.5,-0.43751067,-0.000159189
13:00.5,-0.32979456,-0.000223132
13:00.5,-0.38633063,-0.000282811
13:00.5,-0.30420455,-0.000340356
13:00.6,-0.29587293,-0.000390364
13:00.6,-0.33157992,-0.000442653
13:00.6,-0.31432152,-0.000496479
13:00.6,-0.36728692,-0.000553281
13:00.6,-0.31967759,-0.000610529
13:00.6,-0.28516081,-0.000660933
13:00.6,-0.33336526,-0.000712478
13:00.6,-0.29706314,-0.000765015
13:00.6,-0.25123918,-0.000810707
13:00.6,-0.3845453,-0.00086369
13:00.7,-0.3095606,-0.000921534
13:00.7,-0.32800922,-0.000974666
13:00.7,-0.31789222,-0.001028492
13:00.7,-0.22921987,-0.001074086
13:00.7,-0.29884851,-0.001118092
13:00.7,-0.25480989,-0.001164231
13:00.7,-0.29408756,-0.001209974
13:00.7,-0.34348226,-0.001263105
13:00.7,-0.35002851,-0.001320899
13:00.7,-0.22029312,-0.001368427
13:00.7,-0.27504385,-0.001409706
13:00.8,-0.27028289,-0.001455151
13:00.8,-0.33812618,-0.001505852
13:00.8,-0.29408756,-0.001558538
13:00.8,-0.28694618,-0.001606958
13:00.8,-0.21196148,-0.001648535
13:00.8,-0.24766847,-0.001686838
13:00.8,-0.28039989,-0.001730845
13:00.8,-0.31432152,-0.001780406
13:00.8,-0.34169689,-0.001835075
13:00.8,-0.36907226,-0.001894307
13:00.9,-0.24290754,-0.001945306
13:00.9,-0.26135615,-0.001987329
13:00.9,-0.30598989,-0.002034609
13:00.9,-0.31253618,-0.002086154
13:00.9,-0.16078146,-0.002125598
13:00.9,-0.13876215,-0.00215056
13:00.9,-0.14709377,-0.002174382
13:00.9,-0.17446914,-0.002201179
13:00.9,-0.19172752,-0.002231696
13:00.9,-0.20482008,-0.002264743
13:01.0,-0.18815681,-0.002297491
13:01.0,-0.17803983,-0.002328008
13:01.0,-0.18994217,-0.002358674
13:01.0,-0.28694618,-0.002398416
13:01.0,-0.23576614,-0.002441976
13:01.0,-0.28516081,-0.002485387
13:01.0,-0.34169689,-0.002537627
13:01.0,-0.38097459,-0.00259785
13:01.0,-0.29051688,-0.002653809
13:01.0,-0.26671222,-0.002700246
13:01.1,-0.28694618,-0.002746385
13:01.1,-0.21196148,-0.002787961
13:01.1,-0.27028289,-0.002828149
13:01.1,-0.28516081,-0.002874437
