Time,GPM,Total Gallons
57:43.7,1.3447579,0.31779203
57:43.7,1.2990366,0.31801233
57:43.7,1.2337205,0.31822342
57:43.7,1.2070004,0.31842679
57:43.7,1.1268396,0.31862131
57:43.7,1.0995257,0.31880683
57:43.8,1.1131827,0.31899121
57:43.8,1.0722116,0.31917334
57:43.8,0.96829969,0.31934339
57:43.8,1.0241153,0.31950942
57:43.8,0.95286137,0.31967416
57:43.8,0.90832764,0.31982929
57:43.8,0.88457638,0.31997868
57:43.8,0.93207896,0.32013008
57:43.8,0.88992041,0.32028192
57:43.8,0.86735666,0.32042837
57:43.9,0.8352924,0.32057026
57:43.9,0.77353901,0.32070431
57:43.9,0.74147475,0.32083058
57:43.9,0.69515967,0.3209503
57:43.9,0.6666581,0.32106379
57:43.9,0.71594208,0.321179
57:43.9,0.67853379,0.3212952
57:43.9,0.68031514,0.32140845
57:43.9,0.68506539,0.32152224
57:43.9,0.66309541,0.32163459
57:44.0,0.60015446,0.32173985
57:44.0,0.56393373,0.32183686
57:44.0,0.6167804,0.32193527
57:44.0,0.5775907,0.32203481
57:44.0,0.59659177,0.32213265
57:44.0,0.57105911,0.32222995
57:44.0,0.5128684,0.32232028
57:44.0,0.51643109,0.32240605
57:44.0,0.48080415,0.32248917
57:44.0,0.51999378,0.32257256
57:44.1,0.4653658,0.32265469
57:44.1,0.48080415,0.32273352
57:44.1,0.5128684,0.32281634
57:44.1,0.47724146,0.32289883
57:44.1,0.47546011,0.32297823
57:44.1,0.39708081,0.32305095
57:44.1,0.41608185,0.32311872
57:44.1,0.39233053,0.3231861
57:44.1,0.40717509,0.32325271
57:44.2,0.4143005,0.32332116
57:44.2,0.35135952,0.32338497
57:44.2,0.36501652,0.32344466
57:44.2,0.31870148,0.32350165
57:44.2,0.36620408,0.32355875
57:44.2,0.36323518,0.32361951
57:44.2,0.39054918,0.32368234
57:44.2,0.31335744,0.32374099
57:44.2,0.34779683,0.32379609
57:44.2,0.31038854,0.32385093
57:44.3,0.37332949,0.32390791
57:44.3,0.49089846,0.32397994
57:44.3,0.79788411,0.32408735
57:44.3,1.0787432,0.32424372
57:44.3,1.3958232,0.32444996
57:44.3,1.6636192,0.32470492
57:44.3,2.0519531,0.32501453
57:44.3,2.3690331,0.32538298
57:44.3,2.6112964,0.325798
57:44.3,2.9147193,0.32625851
57:44.4,3.1617329,0.32676488
57:44.4,3.3083971,0.3273041
57:44.4,3.3541183,0.32785931
57:44.4,3.3030531,0.32841408
57:44.4,3.2246737,0.32895806
57:44.4,3.1397629,0.32948846
57:44.4,3.0388198,0.33000335
57:44.4,2.9723163,0.33050427
57:44.4,2.8648415,0.33099073
57:44.4,2.8410902,0.33146623
57:44.4,2.7033327,0.33192825
57:44.5,2.5922952,0.33236957
57:44.5,2.5192599,0.33279556
57:44.5,2.483633,0.33321247
57:44.5,2.3589387,0.33361602
57:44.5,2.314405,0.33400548
57:44.5,2.2223687,0.33438355
57:44.5,2.2223687,0.33475396
57:44.5,2.1493335,0.33511826
57:44.5,2.0893614,0.33547148
57:44.5,2.079267,0.33581889
57:44.6,1.975355,0.33615679
57:44.6,1.9207271,0.33648145
57:44.6,1.8767872,0.33679792
57:44.6,1.8423477,0.33710787
57:44.6,1.7010275,0.33740315
57:44.6,1.7045902,0.33768696
57:44.6,1.7075591,0.3379713
57:44.6,1.6636192,0.33825225
57:44.6,1.7829695,0.33853945
57:44.6,1.8916317,0.3388457
57:44.7,2.1137064,0.33917949
57:44.7,2.2104931,0.33953983
57:44.7,2.4290051,0.33992645
57:44.7,2.7033327,0.34035417
57:44.7,3.0085368,0.34083018
57:44.7,3.2466438,0.34135145
57:44.7,3.425966,0.3419075
57:44.7,3.7222636,0.34250319
57:44.7,3.9336503,0.3431412
57:44.7,4.0767517,0.34380874
57:44.8,4.2251973,0.3445006
57:44.8,4.2899199,0.34521019
57:44.8,4.2798257,0.34592435
57:44.8,4.2305417,0.34663358
57:44.8,4.1331611,0.34733057
57:44.8,4.0749707,0.34801459
57:44.8,4.0375624,0.34869066
57:44.8,4.019155,0.34936205
57:44.8,4.0072794,0.35003093
57:44.8,3.9609642,0.35069495
