Time,Event
2015-10-27-18:11:51,Background
2015-10-27-18:13:11,Straight Stream
2015-10-27-18:14:12,Straight Stream 'O'
2015-10-27-18:15:13,Straight Stream 'Z'
2015-10-27-18:16:18,Straight Stream 'n'
2015-10-27-18:17:22,Narrow Fog
2015-10-27-18:18:22,Narrow Fog 'O'
2015-10-27-18:19:23,Nozzle Off
2015-10-27-18:20:24,End Test
