Time(hh:mm:ss),Elapsed Time,Voltage I/O-1(mV),Voltage I/O-2(mV),Alarm,,Comment: OMEGA OM-DAQPRO-5300,Serial number: 7014521
"06-Jun-16,23:11:34",105,-0.003,-0.006,,,,
"06-Jun-16,23:11:35",106,0,-0.007,,,,
"06-Jun-16,23:11:36",107,0.004,-0.008,,,,
"06-Jun-16,23:11:37",108,0,-0.008,,,,
"06-Jun-16,23:11:38",109,0,-0.011,,,,
"06-Jun-16,23:11:39",110,-0.003,-0.008,,,,
"06-Jun-16,23:11:40",111,-0.007,-0.008,,,,
"06-Jun-16,23:11:41",112,-0.004,-0.011,,,,
"06-Jun-16,23:11:42",113,-0.004,-0.014,,,,
"06-Jun-16,23:11:43",114,-0.008,-0.008,,,,
"06-Jun-16,23:11:44",115,-0.007,-0.01,,,,
"06-Jun-16,23:11:45",116,-0.006,-0.014,,,,
"06-Jun-16,23:11:46",117,-0.008,-0.014,,,,
"06-Jun-16,23:11:47",118,-0.01,-0.013,,,,
"06-Jun-16,23:11:48",119,-0.006,-0.014,,,,
"06-Jun-16,23:11:49",120,-0.004,-0.017,,,,
"06-Jun-16,23:11:50",121,-0.008,-0.013,,,,
"06-Jun-16,23:11:51",122,-0.004,-0.013,,,,
"06-Jun-16,23:11:52",123,-0.006,-0.01,,,,
"06-Jun-16,23:11:53",124,-0.004,-0.014,,,,
"06-Jun-16,23:11:54",125,-0.004,-0.008,,,,
"06-Jun-16,23:11:55",126,-0.003,-0.011,,,,
"06-Jun-16,23:11:56",127,-0.006,-0.001,,,,
"06-Jun-16,23:11:57",128,-0.003,-0.003,,,,
"06-Jun-16,23:11:58",129,-0.004,-0.007,,,,
"06-Jun-16,23:11:59",130,-0.006,-0.008,,,,
"06-Jun-16,23:12:00",131,-0.004,-0.01,,,,
"06-Jun-16,23:12:01",132,-0.007,-0.01,,,,
"06-Jun-16,23:12:02",133,-0.01,-0.011,,,,
"06-Jun-16,23:12:03",134,-0.006,-0.008,,,,
"06-Jun-16,23:12:04",135,-0.006,-0.008,,,,
"06-Jun-16,23:12:05",136,1.051,1.005,,,,
"06-Jun-16,23:12:06",137,1.157,1.102,,,,
"06-Jun-16,23:12:07",138,1.204,1.14,,,,
"06-Jun-16,23:12:08",139,1.221,1.16,,,,
"06-Jun-16,23:12:09",140,1.226,1.17,,,,
"06-Jun-16,23:12:10",141,1.233,1.174,,,,
"06-Jun-16,23:12:11",142,1.236,1.181,,,,
"06-Jun-16,23:12:12",143,1.236,1.178,,,,
"06-Jun-16,23:12:13",144,1.236,1.185,,,,
"06-Jun-16,23:12:14",145,1.239,1.185,,,,
"06-Jun-16,23:12:15",146,1.242,1.184,,,,
"06-Jun-16,23:12:16",147,1.237,1.182,,,,
"06-Jun-16,23:12:17",148,1.237,1.187,,,,
"06-Jun-16,23:12:18",149,1.239,1.188,,,,
"06-Jun-16,23:12:19",150,1.24,1.189,,,,
"06-Jun-16,23:12:20",151,1.208,1.166,,,,
"06-Jun-16,23:12:21",152,1.208,1.161,,,,
"06-Jun-16,23:12:22",153,1.211,1.16,,,,
"06-Jun-16,23:12:23",154,1.205,1.166,,,,
"06-Jun-16,23:12:24",155,1.211,1.163,,,,
"06-Jun-16,23:12:25",156,1.208,1.161,,,,
"06-Jun-16,23:12:26",157,1.211,1.166,,,,
"06-Jun-16,23:12:27",158,1.208,1.154,,,,
"06-Jun-16,23:12:28",159,1.211,1.149,,,,
"06-Jun-16,23:12:29",160,1.211,1.146,,,,
"06-Jun-16,23:12:30",161,1.208,1.149,,,,
"06-Jun-16,23:12:31",162,1.212,1.151,,,,
"06-Jun-16,23:12:32",163,1.215,1.158,,,,
"06-Jun-16,23:12:33",164,1.212,1.153,,,,
"06-Jun-16,23:12:34",165,1.216,1.156,,,,
"06-Jun-16,23:12:35",166,1.208,1.157,,,,
"06-Jun-16,23:12:36",167,1.216,1.163,,,,
"06-Jun-16,23:12:37",168,1.219,1.164,,,,
"06-Jun-16,23:12:38",169,1.222,1.163,,,,
"06-Jun-16,23:12:39",170,1.221,1.167,,,,
"06-Jun-16,23:12:40",171,1.219,1.173,,,,
"06-Jun-16,23:12:41",172,1.219,1.173,,,,
"06-Jun-16,23:12:42",173,1.226,1.17,,,,
"06-Jun-16,23:12:43",174,1.221,1.175,,,,
"06-Jun-16,23:12:44",175,1.222,1.174,,,,
"06-Jun-16,23:12:45",176,1.225,1.178,,,,
"06-Jun-16,23:12:46",177,1.229,1.174,,,,
"06-Jun-16,23:12:47",178,1.229,1.177,,,,
"06-Jun-16,23:12:48",179,1.226,1.198,,,,
"06-Jun-16,23:12:49",180,1.23,1.215,,,,
"06-Jun-16,23:12:50",181,1.23,1.225,,,,
"06-Jun-16,23:12:51",182,1.226,1.226,,,,
"06-Jun-16,23:12:52",183,1.226,1.223,,,,
"06-Jun-16,23:12:53",184,1.226,1.229,,,,
"06-Jun-16,23:12:54",185,1.223,1.23,,,,
"06-Jun-16,23:12:55",186,1.229,1.228,,,,
"06-Jun-16,23:12:56",187,1.233,1.228,,,,
"06-Jun-16,23:12:57",188,1.23,1.226,,,,
"06-Jun-16,23:12:58",189,1.228,1.226,,,,
"06-Jun-16,23:12:59",190,1.228,1.225,,,,
"06-Jun-16,23:13:00",191,1.228,1.223,,,,
"06-Jun-16,23:13:01",192,1.23,1.228,,,,
"06-Jun-16,23:13:02",193,1.23,1.223,,,,
"06-Jun-16,23:13:03",194,1.235,1.223,,,,
"06-Jun-16,23:13:04",195,1.237,1.223,,,,
"06-Jun-16,23:13:05",196,1.239,1.225,,,,
"06-Jun-16,23:13:06",197,1.242,1.225,,,,
"06-Jun-16,23:13:07",198,1.243,1.23,,,,
"06-Jun-16,23:13:08",199,1.239,1.23,,,,
"06-Jun-16,23:13:09",200,1.237,1.223,,,,
"06-Jun-16,23:13:10",201,1.236,1.226,,,,
"06-Jun-16,23:13:11",202,1.236,1.226,,,,
"06-Jun-16,23:13:12",203,1.242,1.232,,,,
"06-Jun-16,23:13:13",204,1.236,1.223,,,,
"06-Jun-16,23:13:14",205,1.235,1.225,,,,
"06-Jun-16,23:13:15",206,1.235,1.228,,,,
"06-Jun-16,23:13:16",207,1.236,1.225,,,,
"06-Jun-16,23:13:17",208,1.235,1.222,,,,
"06-Jun-16,23:13:18",209,1.235,1.228,,,,
"06-Jun-16,23:13:19",210,1.228,1.222,,,,
"06-Jun-16,23:13:20",211,1.23,1.219,,,,
"06-Jun-16,23:13:21",212,1.233,1.223,,,,
"06-Jun-16,23:13:22",213,1.236,1.218,,,,
"06-Jun-16,23:13:23",214,1.223,1.204,,,,
"06-Jun-16,23:13:24",215,1.213,1.201,,,,
"06-Jun-16,23:13:25",216,1.209,1.197,,,,
"06-Jun-16,23:13:26",217,1.18,1.191,,,,
"06-Jun-16,23:13:27",218,1.146,1.182,,,,
"06-Jun-16,23:13:28",219,1.133,1.181,,,,
"06-Jun-16,23:13:29",220,1.139,1.205,,,,
"06-Jun-16,23:13:30",221,1.175,1.212,,,,
"06-Jun-16,23:13:31",222,1.184,1.187,,,,
"06-Jun-16,23:13:32",223,0.863,1.187,,,,
"06-Jun-16,23:13:33",224,1.219,1.187,,,,
"06-Jun-16,23:13:34",225,1.281,0.96,,,,
"06-Jun-16,23:13:35",226,1.294,1.099,,,,
"06-Jun-16,23:13:36",227,1.288,1.151,,,,
"06-Jun-16,23:13:37",228,1.287,1.166,,,,
"06-Jun-16,23:13:38",229,1.285,1.171,,,,
"06-Jun-16,23:13:39",230,1.287,1.171,,,,
"06-Jun-16,23:13:40",231,1.287,1.178,,,,
"06-Jun-16,23:13:41",232,1.283,1.174,,,,
"06-Jun-16,23:13:42",233,1.288,1.175,,,,
"06-Jun-16,23:13:43",234,1.287,1.174,,,,
"06-Jun-16,23:13:44",235,1.29,1.182,,,,
"06-Jun-16,23:13:45",236,1.295,1.188,,,,
"06-Jun-16,23:13:46",237,1.299,1.189,,,,
"06-Jun-16,23:13:47",238,1.294,1.189,,,,
"06-Jun-16,23:13:48",239,1.29,1.188,,,,
"06-Jun-16,23:13:49",240,1.288,1.187,,,,
"06-Jun-16,23:13:50",241,1.291,1.187,,,,
"06-Jun-16,23:13:51",242,1.291,1.184,,,,
"06-Jun-16,23:13:52",243,1.294,1.191,,,,
"06-Jun-16,23:13:53",244,1.292,1.189,,,,
"06-Jun-16,23:13:54",245,1.297,1.188,,,,
"06-Jun-16,23:13:55",246,1.291,1.187,,,,
"06-Jun-16,23:13:56",247,1.297,1.185,,,,
"06-Jun-16,23:13:57",248,1.299,1.187,,,,
"06-Jun-16,23:13:58",249,1.294,1.188,,,,
"06-Jun-16,23:13:59",250,1.314,1.212,,,,
"06-Jun-16,23:14:00",251,1.342,1.236,,,,
"06-Jun-16,23:14:01",252,1.411,1.321,,,,
"06-Jun-16,23:14:02",253,1.416,1.335,,,,
"06-Jun-16,23:14:03",254,1.407,1.336,,,,
"06-Jun-16,23:14:04",255,1.408,1.346,,,,
"06-Jun-16,23:14:05",256,1.412,1.349,,,,
"06-Jun-16,23:14:06",257,1.412,1.35,,,,
"06-Jun-16,23:14:07",258,1.463,1.419,,,,
"06-Jun-16,23:14:08",259,1.463,1.414,,,,
"06-Jun-16,23:14:09",260,1.408,1.33,,,,
"06-Jun-16,23:14:10",261,1.356,1.285,,,,
"06-Jun-16,23:14:11",262,1.28,1.115,,,,
"06-Jun-16,23:14:12",263,1.143,1.111,,,,
"06-Jun-16,23:14:13",264,1.333,1.261,,,,
"06-Jun-16,23:14:14",265,1.13,1.102,,,,
"06-Jun-16,23:14:15",266,1.05,1.075,,,,
"06-Jun-16,23:14:16",267,1.005,1.027,,,,
"06-Jun-16,23:14:17",268,0.98,1.005,,,,
"06-Jun-16,23:14:18",269,0.972,0.995,,,,
"06-Jun-16,23:14:19",270,0.977,0.995,,,,
"06-Jun-16,23:14:20",271,0.971,0.992,,,,
"06-Jun-16,23:14:21",272,0.97,0.989,,,,
"06-Jun-16,23:14:22",273,0.97,0.992,,,,
"06-Jun-16,23:14:23",274,0.967,0.994,,,,
"06-Jun-16,23:14:24",275,0.97,0.991,,,,
"06-Jun-16,23:14:25",276,0.971,0.992,,,,
"06-Jun-16,23:14:26",277,0.971,0.988,,,,
"06-Jun-16,23:14:27",278,0.972,0.988,,,,
"06-Jun-16,23:14:28",279,0.97,0.988,,,,
"06-Jun-16,23:14:29",280,0.972,0.992,,,,
"06-Jun-16,23:14:30",281,0.989,1.009,,,,
"06-Jun-16,23:14:31",282,0.988,1.012,,,,
"06-Jun-16,23:14:32",283,0.988,1.015,,,,
"06-Jun-16,23:14:33",284,0.982,1.013,,,,
"06-Jun-16,23:14:34",285,0.988,1.012,,,,
"06-Jun-16,23:14:35",286,0.989,1.008,,,,
