Time(hh:mm:ss),Elapsed Time,Voltage I/O-1(mV),Voltage I/O-2(mV),Alarm,,Comment: OMEGA OM-DAQPRO-5300,Serial number: 7014521
"06-Jun-16,23:17:36",467,1.042,1.001,,,,
"06-Jun-16,23:17:37",468,1.049,0.975,,,,
"06-Jun-16,23:17:38",469,1.046,0.937,,,,
"06-Jun-16,23:17:39",470,1.047,0.97,,,,
"06-Jun-16,23:17:40",471,1.049,0.974,,,,
"06-Jun-16,23:17:41",472,1.046,1.019,,,,
"06-Jun-16,23:17:42",473,1.047,1.065,,,,
"06-Jun-16,23:17:43",474,1.047,1.047,,,,
"06-Jun-16,23:17:44",475,1.051,1.054,,,,
"06-Jun-16,23:17:45",476,1.046,1.064,,,,
"06-Jun-16,23:17:46",477,1.05,1.094,,,,
"06-Jun-16,23:17:47",478,1.046,1.096,,,,
"06-Jun-16,23:17:48",479,1.05,1.101,,,,
"06-Jun-16,23:17:49",480,1.044,1.084,,,,
"06-Jun-16,23:17:50",481,1.046,1.085,,,,
"06-Jun-16,23:17:51",482,1.046,1.091,,,,
"06-Jun-16,23:17:52",483,1.049,1.085,,,,
"06-Jun-16,23:17:53",484,1.049,1.087,,,,
"06-Jun-16,23:17:54",485,1.049,1.099,,,,
"06-Jun-16,23:17:55",486,1.051,1.091,,,,
"06-Jun-16,23:17:56",487,1.047,1.098,,,,
"06-Jun-16,23:17:57",488,1.049,1.089,,,,
"06-Jun-16,23:17:58",489,1.051,1.081,,,,
"06-Jun-16,23:17:59",490,1.046,1.087,,,,
"06-Jun-16,23:18:00",491,1.053,1.08,,,,
"06-Jun-16,23:18:01",492,1.05,1.089,,,,
"06-Jun-16,23:18:02",493,1.05,1.078,,,,
"06-Jun-16,23:18:03",494,1.05,1.085,,,,
"06-Jun-16,23:18:04",495,1.051,1.087,,,,
"06-Jun-16,23:18:05",496,1.053,1.084,,,,
"06-Jun-16,23:18:06",497,1.046,1.084,,,,
"06-Jun-16,23:18:07",498,1.049,1.088,,,,
"06-Jun-16,23:18:08",499,1.049,1.088,,,,
"06-Jun-16,23:18:09",500,1.047,1.089,,,,
"06-Jun-16,23:18:10",501,1.05,1.085,,,,
"06-Jun-16,23:18:11",502,1.046,1.085,,,,
"06-Jun-16,23:18:12",503,1.053,1.085,,,,
"06-Jun-16,23:18:13",504,1.051,1.088,,,,
"06-Jun-16,23:18:14",505,1.049,1.089,,,,
"06-Jun-16,23:18:15",506,1.05,1.085,,,,
"06-Jun-16,23:18:16",507,1.047,1.084,,,,
"06-Jun-16,23:18:17",508,1.047,1.087,,,,
"06-Jun-16,23:18:18",509,1.046,1.087,,,,
"06-Jun-16,23:18:19",510,1.047,1.081,,,,
"06-Jun-16,23:18:20",511,1.049,1.088,,,,
"06-Jun-16,23:18:21",512,1.047,1.089,,,,
"06-Jun-16,23:18:22",513,1.051,1.085,,,,
"06-Jun-16,23:18:23",514,1.056,1.088,,,,
"06-Jun-16,23:18:24",515,1.054,1.087,,,,
"06-Jun-16,23:18:25",516,1.053,1.099,,,,
"06-Jun-16,23:18:26",517,1.05,1.099,,,,
"06-Jun-16,23:18:27",518,1.054,1.098,,,,
"06-Jun-16,23:18:28",519,1.057,1.106,,,,
"06-Jun-16,23:18:29",520,1.054,1.098,,,,
"06-Jun-16,23:18:30",521,1.057,1.099,,,,
"06-Jun-16,23:18:31",522,1.056,1.094,,,,
"06-Jun-16,23:18:32",523,1.057,1.084,,,,
"06-Jun-16,23:18:33",524,1.054,1.096,,,,
"06-Jun-16,23:18:34",525,1.058,1.099,,,,
"06-Jun-16,23:18:35",526,1.056,1.098,,,,
"06-Jun-16,23:18:36",527,1.056,1.092,,,,
"06-Jun-16,23:18:37",528,1.06,1.094,,,,
"06-Jun-16,23:18:38",529,1.057,1.099,,,,
"06-Jun-16,23:18:39",530,1.054,1.096,,,,
"06-Jun-16,23:18:40",531,1.051,1.099,,,,
"06-Jun-16,23:18:41",532,1.057,1.104,,,,
"06-Jun-16,23:18:42",533,1.06,1.088,,,,
"06-Jun-16,23:18:43",534,1.057,1.089,,,,
"06-Jun-16,23:18:44",535,1.057,1.102,,,,
"06-Jun-16,23:18:45",536,1.06,1.106,,,,
"06-Jun-16,23:18:46",537,1.061,1.108,,,,
"06-Jun-16,23:18:47",538,1.058,1.108,,,,
"06-Jun-16,23:18:48",539,1.053,1.104,,,,
"06-Jun-16,23:18:49",540,1.063,1.106,,,,
"06-Jun-16,23:18:50",541,1.065,1.106,,,,
"06-Jun-16,23:18:51",542,1.065,1.46,,,,
"06-Jun-16,23:18:52",543,1.064,1.46,,,,
"06-Jun-16,23:18:53",544,1.06,8.098,,,,
"06-Jun-16,23:18:54",545,1.06,8.098,,,,
"06-Jun-16,23:18:55",546,1.061,8.562,,,,
"06-Jun-16,23:18:56",547,1.061,8.562,,,,
"06-Jun-16,23:18:57",548,1.063,3.818,,,,
"06-Jun-16,23:18:58",549,1.063,3.818,,,,
"06-Jun-16,23:18:59",550,1.063,1.973,,,,
"06-Jun-16,23:19:00",551,1.061,1.567,,,,
"06-Jun-16,23:19:01",552,1.063,1.378,,,,
"06-Jun-16,23:19:02",553,1.065,1.267,,,,
"06-Jun-16,23:19:03",554,1.042,1.133,,,,
"06-Jun-16,23:19:04",555,1.039,1.158,,,,
"06-Jun-16,23:19:05",556,1.039,1.033,,,,
"06-Jun-16,23:19:06",557,1.032,0.97,,,,
"06-Jun-16,23:19:07",558,1.034,0.943,,,,
"06-Jun-16,23:19:08",559,1.036,0.981,,,,
"06-Jun-16,23:19:09",560,1.036,0.94,,,,
"06-Jun-16,23:19:10",561,1.034,0.94,,,,
"06-Jun-16,23:19:11",562,1.036,0.926,,,,
"06-Jun-16,23:19:12",563,1.034,0.94,,,,
"06-Jun-16,23:19:13",564,1.037,0.996,,,,
"06-Jun-16,23:19:14",565,1.033,1.039,,,,
"06-Jun-16,23:19:15",566,1.032,1.012,,,,
"06-Jun-16,23:19:16",567,1.033,0.991,,,,
"06-Jun-16,23:19:17",568,1.034,0.988,,,,
"06-Jun-16,23:19:18",569,1.033,1.039,,,,
"06-Jun-16,23:19:19",570,1.03,1.026,,,,
"06-Jun-16,23:19:20",571,1.029,1.047,,,,
"06-Jun-16,23:19:21",572,1.033,1.064,,,,
"06-Jun-16,23:19:22",573,1.034,1.067,,,,
"06-Jun-16,23:19:23",574,1.036,1.075,,,,
"06-Jun-16,23:19:24",575,1.04,1.073,,,,
"06-Jun-16,23:19:25",576,1.033,1.07,,,,
"06-Jun-16,23:19:26",577,1.032,1.074,,,,
"06-Jun-16,23:19:27",578,1.032,1.068,,,,
"06-Jun-16,23:19:28",579,1.03,1.068,,,,
"06-Jun-16,23:19:29",580,1.03,1.06,,,,
"06-Jun-16,23:19:30",581,1.033,1.061,,,,
"06-Jun-16,23:19:31",582,1.033,1.064,,,,
"06-Jun-16,23:19:32",583,1.032,1.065,,,,
"06-Jun-16,23:19:33",584,1.032,1.073,,,,
"06-Jun-16,23:19:34",585,1.034,1.067,,,,
"06-Jun-16,23:19:35",586,1.033,1.078,,,,
"06-Jun-16,23:19:36",587,1.036,1.071,,,,
"06-Jun-16,23:19:37",588,1.037,1.081,,,,
"06-Jun-16,23:19:38",589,1.037,1.08,,,,
"06-Jun-16,23:19:39",590,1.034,1.075,,,,
"06-Jun-16,23:19:40",591,1.034,1.061,,,,
"06-Jun-16,23:19:41",592,1.039,1.063,,,,
"06-Jun-16,23:19:42",593,1.039,1.068,,,,
"06-Jun-16,23:19:43",594,1.034,1.073,,,,
"06-Jun-16,23:19:44",595,1.036,1.071,,,,
"06-Jun-16,23:19:45",596,1.039,1.075,,,,
"06-Jun-16,23:19:46",597,1.036,1.064,,,,
"06-Jun-16,23:19:47",598,1.039,1.061,,,,
"06-Jun-16,23:19:48",599,1.04,1.068,,,,
"06-Jun-16,23:19:49",600,1.043,1.07,,,,
"06-Jun-16,23:19:50",601,1.039,1.085,,,,
"06-Jun-16,23:19:51",602,1.034,1.089,,,,
"06-Jun-16,23:19:52",603,1.034,1.073,,,,
"06-Jun-16,23:19:53",604,1.037,1.082,,,,
"06-Jun-16,23:19:54",605,1.037,1.077,,,,
"06-Jun-16,23:19:55",606,1.037,1.073,,,,
"06-Jun-16,23:19:56",607,1.039,1.077,,,,
"06-Jun-16,23:19:57",608,1.039,1.084,,,,
"06-Jun-16,23:19:58",609,1.037,1.067,,,,
"06-Jun-16,23:19:59",610,1.039,1.071,,,,
"06-Jun-16,23:20:00",611,1.04,1.063,,,,
"06-Jun-16,23:20:01",612,1.043,1.067,,,,
"06-Jun-16,23:20:02",613,1.04,1.073,,,,
"06-Jun-16,23:20:03",614,1.039,1.078,,,,
"06-Jun-16,23:20:04",615,1.039,1.08,,,,
"06-Jun-16,23:20:05",616,1.046,1.084,,,,
"06-Jun-16,23:20:06",617,1.057,1.085,,,,
"06-Jun-16,23:20:07",618,1.065,1.109,,,,
"06-Jun-16,23:20:08",619,1.07,1.106,,,,
"06-Jun-16,23:20:09",620,1.074,1.12,,,,
"06-Jun-16,23:20:10",621,1.068,1.106,,,,
"06-Jun-16,23:20:11",622,1.077,1.127,,,,
"06-Jun-16,23:20:12",623,1.075,1.109,,,,
"06-Jun-16,23:20:13",624,1.074,1.101,,,,
"06-Jun-16,23:20:14",625,1.08,1.116,,,,
"06-Jun-16,23:20:15",626,1.082,1.101,,,,
"06-Jun-16,23:20:16",627,1.081,1.112,,,,
"06-Jun-16,23:20:17",628,1.081,1.116,,,,
"06-Jun-16,23:20:18",629,1.074,1.109,,,,
"06-Jun-16,23:20:19",630,1.074,1.112,,,,
"06-Jun-16,23:20:20",631,1.08,1.118,,,,
"06-Jun-16,23:20:21",632,1.075,1.115,,,,
"06-Jun-16,23:20:22",633,1.08,1.106,,,,
"06-Jun-16,23:20:23",634,1.081,1.111,,,,
"06-Jun-16,23:20:24",635,1.071,1.106,,,,
"06-Jun-16,23:20:25",636,1.068,1.099,,,,
"06-Jun-16,23:20:26",637,1.071,1.104,,,,
"06-Jun-16,23:20:27",638,1.082,1.095,,,,
"06-Jun-16,23:20:28",639,1.078,1.105,,,,
"06-Jun-16,23:20:29",640,1.075,1.106,,,,
"06-Jun-16,23:20:30",641,1.085,1.101,,,,
"06-Jun-16,23:20:31",642,1.087,1.101,,,,
"06-Jun-16,23:20:32",643,1.082,1.108,,,,
"06-Jun-16,23:20:33",644,1.08,1.105,,,,
"06-Jun-16,23:20:34",645,1.082,1.104,,,,
"06-Jun-16,23:20:35",646,1.084,1.095,,,,
"06-Jun-16,23:20:36",647,1.084,1.115,,,,
"06-Jun-16,23:20:37",648,1.077,1.111,,,,
"06-Jun-16,23:20:38",649,1.07,1.099,,,,
"06-Jun-16,23:20:39",650,1.08,1.112,,,,
"06-Jun-16,23:20:40",651,1.084,1.109,,,,
"06-Jun-16,23:20:41",652,1.078,1.096,,,,
"06-Jun-16,23:20:42",653,1.075,1.113,,,,
"06-Jun-16,23:20:43",654,1.075,1.112,,,,
"06-Jun-16,23:20:44",655,1.08,1.112,,,,
"06-Jun-16,23:20:45",656,1.084,1.123,,,,
"06-Jun-16,23:20:46",657,1.074,1.123,,,,
"06-Jun-16,23:20:47",658,1.071,1.111,,,,
"06-Jun-16,23:20:48",659,1.068,1.109,,,,
"06-Jun-16,23:20:49",660,1.091,1.109,,,,
"06-Jun-16,23:20:50",661,1.082,1.109,,,,
"06-Jun-16,23:20:51",662,1.085,1.118,,,,
"06-Jun-16,23:20:52",663,1.082,1.118,,,,
"06-Jun-16,23:20:53",664,1.098,1.108,,,,
"06-Jun-16,23:20:54",665,1.088,1.126,,,,
"06-Jun-16,23:20:55",666,1.08,1.125,,,,
"06-Jun-16,23:20:56",667,1.088,1.129,,,,
"06-Jun-16,23:20:57",668,1.081,1.116,,,,
"06-Jun-16,23:20:58",669,1.075,1.109,,,,
"06-Jun-16,23:20:59",670,1.077,1.132,,,,
"06-Jun-16,23:21:00",671,1.074,1.122,,,,
"06-Jun-16,23:21:01",672,1.082,1.129,,,,
"06-Jun-16,23:21:02",673,1.085,1.116,,,,
"06-Jun-16,23:21:03",674,1.075,1.118,,,,
"06-Jun-16,23:21:04",675,1.077,1.133,,,,
"06-Jun-16,23:21:05",676,1.077,1.12,,,,
"06-Jun-16,23:21:06",677,1.078,1.111,,,,
"06-Jun-16,23:21:07",678,1.077,1.109,,,,
"06-Jun-16,23:21:08",679,1.082,1.105,,,,
"06-Jun-16,23:21:09",680,1.081,1.106,,,,
"06-Jun-16,23:21:10",681,1.08,1.108,,,,
"06-Jun-16,23:21:11",682,1.084,1.106,,,,
"06-Jun-16,23:21:12",683,1.084,1.108,,,,
"06-Jun-16,23:21:13",684,1.085,1.109,,,,
"06-Jun-16,23:21:14",685,1.089,1.106,,,,
"06-Jun-16,23:21:15",686,1.089,1.109,,,,
"06-Jun-16,23:21:16",687,1.096,1.111,,,,
"06-Jun-16,23:21:17",688,1.089,1.112,,,,
"06-Jun-16,23:21:18",689,1.085,1.118,,,,
"06-Jun-16,23:21:19",690,1.081,1.118,,,,
"06-Jun-16,23:21:20",691,1.082,1.127,,,,
"06-Jun-16,23:21:21",692,1.075,1.111,,,,
"06-Jun-16,23:21:22",693,1.08,1.112,,,,
"06-Jun-16,23:21:23",694,1.078,1.111,,,,
"06-Jun-16,23:21:24",695,1.08,1.133,,,,
"06-Jun-16,23:21:25",696,1.078,1.115,,,,
"06-Jun-16,23:21:26",697,1.081,1.108,,,,
"06-Jun-16,23:21:27",698,1.077,1.115,,,,
"06-Jun-16,23:21:28",699,1.082,1.127,,,,
"06-Jun-16,23:21:29",700,1.088,1.112,,,,
"06-Jun-16,23:21:30",701,1.085,1.113,,,,
"06-Jun-16,23:21:31",702,1.074,1.126,,,,
"06-Jun-16,23:21:32",703,1.077,1.12,,,,
"06-Jun-16,23:21:33",704,1.088,1.116,,,,
"06-Jun-16,23:21:34",705,1.082,1.119,,,,
"06-Jun-16,23:21:35",706,1.08,1.119,,,,
"06-Jun-16,23:21:36",707,1.081,1.139,,,,
"06-Jun-16,23:21:37",708,1.085,1.116,,,,
"06-Jun-16,23:21:38",709,1.081,1.123,,,,
"06-Jun-16,23:21:39",710,1.084,1.122,,,,
"06-Jun-16,23:21:40",711,1.084,1.12,,,,
"06-Jun-16,23:21:41",712,1.085,1.125,,,,
"06-Jun-16,23:21:42",713,1.085,1.139,,,,
"06-Jun-16,23:21:43",714,1.084,1.12,,,,
"06-Jun-16,23:21:44",715,1.084,1.118,,,,
"06-Jun-16,23:21:45",716,1.085,1.12,,,,
"06-Jun-16,23:21:46",717,1.084,1.133,,,,
"06-Jun-16,23:21:47",718,1.085,1.146,,,,
"06-Jun-16,23:21:48",719,1.084,1.133,,,,
"06-Jun-16,23:21:49",720,1.084,1.142,,,,
"06-Jun-16,23:21:50",721,1.082,1.125,,,,
"06-Jun-16,23:21:51",722,1.087,1.118,,,,
"06-Jun-16,23:21:52",723,1.085,1.136,,,,
"06-Jun-16,23:21:53",724,1.084,1.13,,,,
"06-Jun-16,23:21:54",725,1.085,1.119,,,,
"06-Jun-16,23:21:55",726,1.085,1.127,,,,
"06-Jun-16,23:21:56",727,1.084,1.125,,,,
"06-Jun-16,23:21:57",728,1.084,1.12,,,,
"06-Jun-16,23:21:58",729,1.087,1.116,,,,
"06-Jun-16,23:21:59",730,1.095,1.119,,,,
"06-Jun-16,23:22:00",731,1.095,1.132,,,,
"06-Jun-16,23:22:01",732,1.096,1.13,,,,
"06-Jun-16,23:22:02",733,1.088,1.116,,,,
"06-Jun-16,23:22:03",734,1.085,1.119,,,,
"06-Jun-16,23:22:04",735,1.094,1.126,,,,
"06-Jun-16,23:22:05",736,1.082,1.12,,,,
"06-Jun-16,23:22:06",737,1.082,1.118,,,,
"06-Jun-16,23:22:07",738,1.082,1.108,,,,
"06-Jun-16,23:22:08",739,1.063,1.104,,,,
"06-Jun-16,23:22:09",740,1.056,1.111,,,,
"06-Jun-16,23:22:10",741,1.056,1.112,,,,
"06-Jun-16,23:22:11",742,1.057,1.092,,,,
"06-Jun-16,23:22:12",743,1.056,1.094,,,,
"06-Jun-16,23:22:13",744,1.061,1.082,,,,
"06-Jun-16,23:22:14",745,1.061,1.092,,,,
"06-Jun-16,23:22:15",746,1.058,1.085,,,,
"06-Jun-16,23:22:16",747,1.051,1.08,,,,
"06-Jun-16,23:22:17",748,1.064,1.084,,,,
"06-Jun-16,23:22:18",749,1.064,1.091,,,,
"06-Jun-16,23:22:19",750,1.061,1.089,,,,
"06-Jun-16,23:22:20",751,1.064,1.091,,,,
"06-Jun-16,23:22:21",752,1.057,1.095,,,,
"06-Jun-16,23:22:22",753,1.056,1.089,,,,
"06-Jun-16,23:22:23",754,1.046,1.096,,,,
"06-Jun-16,23:22:24",755,1.056,1.106,,,,
"06-Jun-16,23:22:25",756,1.056,1.109,,,,
"06-Jun-16,23:22:26",757,1.056,1.096,,,,
"06-Jun-16,23:22:27",758,1.058,1.092,,,,
"06-Jun-16,23:22:28",759,1.061,1.094,,,,
"06-Jun-16,23:22:29",760,1.063,1.095,,,,
"06-Jun-16,23:22:30",761,1.061,1.111,,,,
"06-Jun-16,23:22:31",762,1.065,1.112,,,,
"06-Jun-16,23:22:32",763,1.065,1.098,,,,
"06-Jun-16,23:22:33",764,1.063,1.101,,,,
"06-Jun-16,23:22:34",765,1.065,1.108,,,,
"06-Jun-16,23:22:35",766,1.061,1.102,,,,
"06-Jun-16,23:22:36",767,1.067,1.098,,,,
"06-Jun-16,23:22:37",768,1.068,1.102,,,,
"06-Jun-16,23:22:38",769,1.067,1.119,,,,
"06-Jun-16,23:22:39",770,1.064,1.123,,,,
"06-Jun-16,23:22:40",771,1.061,1.113,,,,
"06-Jun-16,23:22:41",772,1.057,1.102,,,,
"06-Jun-16,23:22:42",773,1.06,1.089,,,,
"06-Jun-16,23:22:43",774,1.057,1.101,,,,
"06-Jun-16,23:22:44",775,1.061,1.111,,,,
"06-Jun-16,23:22:45",776,1.064,1.099,,,,
"06-Jun-16,23:22:46",777,1.063,1.105,,,,
"06-Jun-16,23:22:47",778,1.057,1.094,,,,
"06-Jun-16,23:22:48",779,1.057,1.087,,,,
"06-Jun-16,23:22:49",780,1.061,1.092,,,,
"06-Jun-16,23:22:50",781,1.061,1.092,,,,
"06-Jun-16,23:22:51",782,1.061,1.096,,,,
"06-Jun-16,23:22:52",783,1.057,1.087,,,,
"06-Jun-16,23:22:53",784,1.061,1.104,,,,
"06-Jun-16,23:22:54",785,1.058,1.089,,,,
"06-Jun-16,23:22:55",786,1.064,1.087,,,,
"06-Jun-16,23:22:56",787,1.067,1.087,,,,
"06-Jun-16,23:22:57",788,1.058,1.099,,,,
"06-Jun-16,23:22:58",789,1.057,1.099,,,,
"06-Jun-16,23:22:59",790,1.063,1.087,,,,
"06-Jun-16,23:23:00",791,1.06,1.085,,,,
"06-Jun-16,23:23:01",792,1.075,1.085,,,,
"06-Jun-16,23:23:02",793,1.067,1.085,,,,
"06-Jun-16,23:23:03",794,1.061,1.088,,,,
"06-Jun-16,23:23:04",795,1.06,1.085,,,,
"06-Jun-16,23:23:05",796,1.061,1.085,,,,
"06-Jun-16,23:23:06",797,1.073,1.089,,,,
"06-Jun-16,23:23:07",798,1.063,1.091,,,,
"06-Jun-16,23:23:08",799,1.063,1.098,,,,
"06-Jun-16,23:23:09",800,1.063,1.091,,,,
"06-Jun-16,23:23:10",801,1.061,1.099,,,,
"06-Jun-16,23:23:11",802,1.074,1.096,,,,
"06-Jun-16,23:23:12",803,1.075,1.094,,,,
"06-Jun-16,23:23:13",804,1.074,1.089,,,,
"06-Jun-16,23:23:14",805,1.077,1.105,,,,
"06-Jun-16,23:23:15",806,1.061,1.113,,,,
"06-Jun-16,23:23:16",807,1.061,1.104,,,,
"06-Jun-16,23:23:17",808,1.07,1.105,,,,
"06-Jun-16,23:23:18",809,1.064,1.099,,,,
"06-Jun-16,23:23:19",810,1.061,1.094,,,,
"06-Jun-16,23:23:20",811,1.061,1.095,,,,
"06-Jun-16,23:23:21",812,1.08,1.109,,,,
"06-Jun-16,23:23:22",813,1.088,1.115,,,,
"06-Jun-16,23:23:23",814,1.088,1.119,,,,
"06-Jun-16,23:23:24",815,1.089,1.137,,,,
"06-Jun-16,23:23:25",816,1.095,1.13,,,,
"06-Jun-16,23:23:26",817,1.101,1.136,,,,
"06-Jun-16,23:23:27",818,1.098,1.132,,,,
"06-Jun-16,23:23:28",819,1.094,1.127,,,,
"06-Jun-16,23:23:29",820,1.096,1.139,,,,
"06-Jun-16,23:23:30",821,1.095,1.136,,,,
"06-Jun-16,23:23:31",822,1.101,1.129,,,,
"06-Jun-16,23:23:32",823,1.101,1.125,,,,
"06-Jun-16,23:23:33",824,1.096,1.122,,,,
"06-Jun-16,23:23:34",825,1.105,1.127,,,,
"06-Jun-16,23:23:35",826,1.105,1.119,,,,
"06-Jun-16,23:23:36",827,1.096,1.125,,,,
"06-Jun-16,23:23:37",828,1.099,1.122,,,,
"06-Jun-16,23:23:38",829,1.096,1.132,,,,
"06-Jun-16,23:23:39",830,1.101,1.137,,,,
"06-Jun-16,23:23:40",831,1.094,1.139,,,,
"06-Jun-16,23:23:41",832,1.098,1.14,,,,
"06-Jun-16,23:23:42",833,1.102,1.127,,,,
"06-Jun-16,23:23:43",834,1.106,1.126,,,,
"06-Jun-16,23:23:44",835,1.099,1.119,,,,
"06-Jun-16,23:23:45",836,1.104,1.139,,,,
"06-Jun-16,23:23:46",837,1.105,1.136,,,,
"06-Jun-16,23:23:47",838,1.104,1.136,,,,
"06-Jun-16,23:23:48",839,1.096,1.132,,,,
"06-Jun-16,23:23:49",840,1.095,1.15,,,,
"06-Jun-16,23:23:50",841,1.094,1.144,,,,
"06-Jun-16,23:23:51",842,1.096,1.126,,,,
"06-Jun-16,23:23:52",843,1.099,1.122,,,,
"06-Jun-16,23:23:53",844,1.105,1.123,,,,
"06-Jun-16,23:23:54",845,1.115,1.123,,,,
"06-Jun-16,23:23:55",846,1.106,1.122,,,,
"06-Jun-16,23:23:56",847,1.101,1.137,,,,
"06-Jun-16,23:23:57",848,1.098,1.135,,,,
"06-Jun-16,23:23:58",849,1.098,1.129,,,,
"06-Jun-16,23:23:59",850,1.095,1.119,,,,
"06-Jun-16,23:24:00",851,1.096,1.147,,,,
"06-Jun-16,23:24:01",852,1.091,1.126,,,,
"06-Jun-16,23:24:02",853,1.096,1.126,,,,
"06-Jun-16,23:24:03",854,1.101,1.127,,,,
"06-Jun-16,23:24:04",855,1.099,1.125,,,,
"06-Jun-16,23:24:05",856,1.094,1.133,,,,
"06-Jun-16,23:24:06",857,1.094,1.136,,,,
"06-Jun-16,23:24:07",858,1.096,1.132,,,,
"06-Jun-16,23:24:08",859,1.099,1.129,,,,
"06-Jun-16,23:24:09",860,1.105,1.135,,,,
"06-Jun-16,23:24:10",861,1.101,1.143,,,,
"06-Jun-16,23:24:11",862,1.102,1.14,,,,
"06-Jun-16,23:24:12",863,1.098,1.13,,,,
"06-Jun-16,23:24:13",864,1.106,1.122,,,,
"06-Jun-16,23:24:14",865,1.104,1.133,,,,
"06-Jun-16,23:24:15",866,1.098,1.147,,,,
"06-Jun-16,23:24:16",867,1.092,1.147,,,,
"06-Jun-16,23:24:17",868,1.096,7.66,,,,
"06-Jun-16,23:24:18",869,1.096,7.66,,,,
"06-Jun-16,23:24:19",870,1.095,10.677,,,,
"06-Jun-16,23:24:20",871,1.094,10.677,,,,
"06-Jun-16,23:24:21",872,1.098,10.852,,,,
"06-Jun-16,23:24:22",873,1.099,10.852,,,,
"06-Jun-16,23:24:23",874,1.099,5.126,,,,
"06-Jun-16,23:24:24",875,1.094,5.126,,,,
"06-Jun-16,23:24:25",876,1.088,2.086,,,,
"06-Jun-16,23:24:26",877,1.095,2.086,,,,
"06-Jun-16,23:24:27",878,1.094,1.421,,,,
"06-Jun-16,23:24:28",879,1.095,1.288,,,,
"06-Jun-16,23:24:29",880,1.095,1.268,,,,
"06-Jun-16,23:24:30",881,1.098,1.209,,,,
"06-Jun-16,23:24:31",882,1.099,1.116,,,,
"06-Jun-16,23:24:32",883,1.099,1.109,,,,
"06-Jun-16,23:24:33",884,1.098,1.102,,,,
"06-Jun-16,23:24:34",885,1.098,1.126,,,,
"06-Jun-16,23:24:35",886,1.099,1.174,,,,
"06-Jun-16,23:24:36",887,1.099,1.139,,,,
"06-Jun-16,23:24:37",888,1.099,1.14,,,,
"06-Jun-16,23:24:38",889,1.095,1.132,,,,
"06-Jun-16,23:24:39",890,1.101,1.127,,,,
"06-Jun-16,23:24:40",891,1.098,1.129,,,,
"06-Jun-16,23:24:41",892,1.095,1.157,,,,
"06-Jun-16,23:24:42",893,1.096,1.157,,,,
"06-Jun-16,23:24:43",894,1.095,1.157,,,,
"06-Jun-16,23:24:44",895,1.092,1.153,,,,
"06-Jun-16,23:24:45",896,1.089,1.144,,,,
"06-Jun-16,23:24:46",897,1.087,1.135,,,,
"06-Jun-16,23:24:47",898,1.088,1.126,,,,
"06-Jun-16,23:24:48",899,1.096,1.136,,,,
"06-Jun-16,23:24:49",900,1.094,1.14,,,,
"06-Jun-16,23:24:50",901,1.104,1.118,,,,
"06-Jun-16,23:24:51",902,1.094,1.16,,,,
"06-Jun-16,23:24:52",903,1.102,1.125,,,,
"06-Jun-16,23:24:53",904,1.101,1.14,,,,
"06-Jun-16,23:24:54",905,1.101,1.142,,,,
"06-Jun-16,23:24:55",906,1.095,1.175,,,,
"06-Jun-16,23:24:56",907,1.104,1.135,,,,
"06-Jun-16,23:24:57",908,1.098,1.118,,,,
"06-Jun-16,23:24:58",909,1.095,1.16,,,,
"06-Jun-16,23:24:59",910,1.102,1.137,,,,
"06-Jun-16,23:25:00",911,1.106,1.127,,,,
"06-Jun-16,23:25:01",912,1.094,1.137,,,,
"06-Jun-16,23:25:02",913,1.102,1.115,,,,
"06-Jun-16,23:25:03",914,1.108,1.116,,,,
"06-Jun-16,23:25:04",915,1.105,1.116,,,,
"06-Jun-16,23:25:05",916,1.098,1.111,,,,
"06-Jun-16,23:25:06",917,1.113,1.113,,,,
"06-Jun-16,23:25:07",918,1.108,1.116,,,,
"06-Jun-16,23:25:08",919,1.099,1.116,,,,
"06-Jun-16,23:25:09",920,1.102,1.118,,,,
"06-Jun-16,23:25:10",921,1.101,1.151,,,,
"06-Jun-16,23:25:11",922,1.098,1.146,,,,
"06-Jun-16,23:25:12",923,1.095,1.13,,,,
"06-Jun-16,23:25:13",924,1.094,1.139,,,,
"06-Jun-16,23:25:14",925,1.092,1.118,,,,
"06-Jun-16,23:25:15",926,1.094,1.139,,,,
"06-Jun-16,23:25:16",927,1.098,1.126,,,,
"06-Jun-16,23:25:17",928,1.096,1.126,,,,
"06-Jun-16,23:25:18",929,1.102,2.628,,,,
"06-Jun-16,23:25:19",930,1.106,2.516,,,,
"06-Jun-16,23:25:20",931,1.108,2.247,,,,
"06-Jun-16,23:25:21",932,1.099,1.986,,,,
"06-Jun-16,23:25:22",933,1.105,2.335,,,,
"06-Jun-16,23:25:23",934,1.115,2.097,,,,
"06-Jun-16,23:25:24",935,1.109,1.925,,,,
"06-Jun-16,23:25:25",936,1.104,1.922,,,,
"06-Jun-16,23:25:26",937,1.099,1.501,,,,
"06-Jun-16,23:25:27",938,1.104,1.405,,,,
"06-Jun-16,23:25:28",939,1.099,1.277,,,,
"06-Jun-16,23:25:29",940,1.098,1.208,,,,
"06-Jun-16,23:25:30",941,1.098,1.105,,,,
"06-Jun-16,23:25:31",942,1.099,1.057,,,,
"06-Jun-16,23:25:32",943,1.098,1.043,,,,
"06-Jun-16,23:25:33",944,1.096,1.025,,,,
"06-Jun-16,23:25:34",945,1.095,1.029,,,,
