Event,Time,Flow_Time
Ignition,0:05:06,
Front Door Open,0:13:31,
Suppression Crew Entry,0:13:44,
Burst Suppression,0:13:49,524.0
BR1 Window Open,0:13:54,
Hall Suppression,0:14:00,554.0
End Experiment,0:20:29,
