Event,Time,Flow_Time
Ignition,0:02:08,
BR1 Window Narrow Fog,0:07:32,323.9
BR1 Window Straight Stream,0:10:36,508.9
Front Door Open,0:11:06,
Suppression Crew Enters,0:11:18,
Room Suppression,0:11:42,572.7
End Experiment,0:16:13,
