Event,Time,Flow_Time
Ignition,0:05:05,
Front Door Open,0:11:31,
Suppression Crew Enters,0:11:44,
Burst Suppression,0:11:48,404.0
Hall Suppression,0:11:57,412.6
End Experiment,0:20:10,
